15,15,15
17,17,15
19,19,15
20,21,15
22,23,15
24,25,15
26,27,15
28,29,15
29,31,15
31,33,15
33,35,15
35,36,15
37,38,15
38,40,15
40,42,15
42,44,15
44,46,15
46,48,15
47,50,15
49,52,15
51,54,15
53,56,15
55,58,15
56,60,15
58,62,15
60,64,15
62,66,15
64,68,15
65,70,15
67,72,15
69,74,15
71,76,15
73,78,16
74,79,16
76,81,16
78,83,16
80,85,16
81,87,16
83,89,16
85,91,16
87,93,16
89,95,16
90,97,16
92,99,16
94,101,16
96,103,16
98,105,16
99,107,16
101,109,16
103,111,16
105,113,16
107,115,16
108,117,16
110,119,16
112,120,16
114,122,16
116,124,16
117,126,16
119,128,16
121,130,16
123,132,16
125,134,16
126,136,16
128,138,16
130,140,16
128,140,19
126,140,23
124,140,26
122,140,30
120,141,33
118,141,36
116,141,40
114,141,43
112,141,46
110,141,50
108,141,53
106,141,57
104,141,60
102,142,63
100,142,67
98,142,70
95,142,73
93,142,77
91,142,80
89,142,84
87,142,87
85,142,90
83,143,94
81,143,97
79,143,100
77,143,104
75,143,107
73,143,110
71,143,114
69,143,117
67,143,121
65,144,124
63,144,127
61,144,131
59,144,134
57,144,138
55,144,141
53,144,144
51,144,148
49,144,151
47,144,154
45,145,158
43,145,161
41,145,165
39,145,168
37,145,171
35,145,175
33,145,178
30,145,181
28,145,185
26,146,188
24,146,191
22,146,195
20,146,198
18,146,202
16,146,205
14,146,208
12,146,212
10,146,215
8,147,219
6,147,222
4,147,225
2,147,229
0,147,232
3,146,231
6,146,229
9,145,228
12,145,227
15,144,225
18,144,224
21,143,223
24,143,221
27,142,220
30,142,219
33,141,217
36,141,216
39,140,215
42,140,213
45,139,212
48,139,211
51,138,209
54,138,208
57,137,207
60,137,205
63,136,204
66,136,203
69,135,201
72,135,200
75,134,199
78,134,197
81,133,196
84,133,195
87,132,193
90,132,192
93,131,191
96,131,189
99,130,188
102,130,187
105,129,185
108,129,184
111,128,183
114,128,181
117,127,180
120,127,179
123,126,177
126,126,176
129,125,175
132,125,173
135,124,172
138,124,171
141,123,169
144,123,168
147,122,167
150,122,165
153,121,164
156,121,163
159,120,161
162,120,160
165,119,159
168,119,157
171,118,156
174,118,155
177,117,153
180,117,152
183,116,151
186,116,149
189,115,148
190,117,150
191,119,151
192,122,153
193,124,155
194,126,156
195,128,158
196,130,160
197,132,161
198,135,163
199,137,165
200,139,166
201,141,168
202,143,170
203,146,171
204,148,173
206,150,175
207,152,176
208,154,178
209,157,180
210,159,181
211,161,183
212,163,185
213,165,186
214,168,188
215,170,190
216,172,191
217,174,193
218,176,195
219,178,196
220,181,198
221,183,200
222,185,202
223,187,203
224,189,205
225,192,207
226,194,208
227,196,210
228,198,212
229,200,213
230,203,215
231,205,217
232,207,218
233,209,220
234,211,222
235,213,223
236,216,225
237,218,227
239,220,228
240,222,230
241,224,232
242,227,233
243,229,235
244,231,237
245,233,238
246,235,240
247,237,242
248,240,243
249,242,245
250,244,247
251,246,248
252,248,250
253,251,252
254,253,253
